
(datetime.datetime(2023, 11, 1, 0, 1, 2), (28.4868850101039, -90.0, -6356163.643410547))
(datetime.datetime(2023, 11, 1, 0, 1, 3), (28.51581176046641, -90.0, -6356167.007014536))
(datetime.datetime(2023, 11, 1, 0, 1, 4), (28.544742048219597, -90.0, -6356170.370871753))
(datetime.datetime(2023, 11, 1, 0, 1, 5), (28.573675884331973, -90.0, -6356173.734980801))
(datetime.datetime(2023, 11, 1, 0, 1, 6), (28.60261327977783, -90.0, -6356177.09934028))
(datetime.datetime(2023, 11, 1, 0, 1, 7), (28.631554245539707, -90.0, -6356180.463948789))
(datetime.datetime(2023, 11, 1, 0, 1, 8), (28.660498792609438, -90.0, -6356183.828804929))
(datetime.datetime(2023, 11, 1, 0, 1, 9), (28.689446931984822, -90.0, -6356187.193907297))
(datetime.datetime(2023, 11, 1, 0, 1, 10), (28.718398674672123, -90.0, -6356190.559254492))
(datetime.datetime(2023, 11, 1, 0, 1, 11), (28.747354031686346, -90.0, -6356193.92484511))
(datetime.datetime(2023, 11, 1, 0, 1, 12), (28.776313014047396, -90.0, -6356197.290677746))
(datetime.datetime(2023, 11, 1, 0, 1, 13), (28.805275632787055, -90.0, -6356200.6567509975))
(datetime.datetime(2023, 11, 1, 0, 1, 14), (28.834241898942633, -90.0, -6356204.0230634585))
(datetime.datetime(2023, 11, 1, 0, 1, 15), (28.86321182355987, -90.0, -6356207.389613723))
(datetime.datetime(2023, 11, 1, 0, 1, 16), (28.892185417691366, -90.0, -6356210.756400384))
(datetime.datetime(2023, 11, 1, 0, 1, 17), (28.921162692398855, -90.0, -6356214.123422033))
(datetime.datetime(2023, 11, 1, 0, 1, 18), (28.95014365875246, -90.0, -6356217.490677264))
(datetime.datetime(2023, 11, 1, 0, 1, 19), (28.979128327828708, -90.0, -6356220.858164664))
(datetime.datetime(2023, 11, 1, 0, 1, 20), (29.008116710712475, -90.0, -6356224.225882826))
(datetime.datetime(2023, 11, 1, 0, 1, 21), (29.037108818497188, -90.0, -6356227.593830339))
(datetime.datetime(2023, 11, 1, 0, 1, 22), (29.06610466228451, -90.0, -6356230.96200579))
(datetime.datetime(2023, 11, 1, 0, 1, 23), (29.09510425318249, -90.0, -6356234.3304077685))
(datetime.datetime(2023, 11, 1, 0, 1, 24), (29.124107602309376, -90.0, -6356237.699034861))
(datetime.datetime(2023, 11, 1, 0, 1, 25), (29.15311472078999, -90.0, -6356241.067885653))
(datetime.datetime(2023, 11, 1, 0, 1, 26), (29.18212561975671, -90.0, -6356244.43695873))
(datetime.datetime(2023, 11, 1, 0, 1, 27), (29.21114031035301, -90.0, -6356247.806252678))
(datetime.datetime(2023, 11, 1, 0, 1, 28), (29.24015880372516, -90.0, -6356251.175766079))
(datetime.datetime(2023, 11, 1, 0, 1, 29), (29.269181111032704, -90.0, -6356254.545497517))
(datetime.datetime(2023, 11, 1, 0, 1, 30), (29.298207243440604, -90.0, -6356257.915445575))
(datetime.datetime(2023, 11, 1, 0, 1, 31), (29.327237212121744, -90.0, -6356261.285608834))
(datetime.datetime(2023, 11, 1, 0, 1, 32), (29.356271028258032, -90.0, -6356264.655985874))
(datetime.datetime(2023, 11, 1, 0, 1, 33), (29.385308703039623, -90.0, -6356268.026575276))
(datetime.datetime(2023, 11, 1, 0, 1, 34), (29.414350247665425, -90.0, -6356271.397375619))
(datetime.datetime(2023, 11, 1, 0, 1, 35), (29.44339567333993, -90.0, -6356274.768385482))
(datetime.datetime(2023, 11, 1, 0, 1, 36), (29.472444991277662, -90.0, -6356278.1396034425))
(datetime.datetime(2023, 11, 1, 0, 1, 37), (29.50149821270227, -90.0, -6356281.5110280765))
(datetime.datetime(2023, 11, 1, 0, 1, 38), (29.530555348843244, -90.0, -6356284.882657961))
(datetime.datetime(2023, 11, 1, 0, 1, 39), (29.55961641094016, -90.0, -6356288.254491671))
(datetime.datetime(2023, 11, 1, 0, 1, 40), (29.588681410239875, -90.0, -6356291.626527782))
(datetime.datetime(2023, 11, 1, 0, 1, 41), (29.61775035799779, -90.0, -6356294.998764866))
(datetime.datetime(2023, 11, 1, 0, 1, 42), (29.64682326547752, -90.0, -6356298.3712014975))
(datetime.datetime(2023, 11, 1, 0, 1, 43), (29.67590014395183, -90.0, -6356301.743836248))
(datetime.datetime(2023, 11, 1, 0, 1, 44), (29.704981004699604, -90.0, -6356305.11666769))
(datetime.datetime(2023, 11, 1, 0, 1, 45), (29.734065859009878, -90.0, -6356308.489694393))
(datetime.datetime(2023, 11, 1, 0, 1, 46), (29.763154718180566, -90.0, -6356311.862914927))
(datetime.datetime(2023, 11, 1, 0, 1, 47), (29.79224759351535, -90.0, -6356315.236327862))
(datetime.datetime(2023, 11, 1, 0, 1, 48), (29.821344496327903, -90.0, -6356318.609931766))
(datetime.datetime(2023, 11, 1, 0, 1, 49), (29.850445437941183, -90.0, -6356321.983725206))
(datetime.datetime(2023, 11, 1, 0, 1, 50), (29.879550429684706, -90.0, -6356325.35770675))
(datetime.datetime(2023, 11, 1, 0, 1, 51), (29.908659482896574, -90.0, -6356328.731874961))
(datetime.datetime(2023, 11, 1, 0, 1, 52), (29.93777260892546, -90.0, -6356332.106228408))
(datetime.datetime(2023, 11, 1, 0, 1, 53), (29.966889819125512, -90.0, -6356335.480765654))
(datetime.datetime(2023, 11, 1, 0, 1, 54), (29.99601112486061, -90.0, -6356338.855485261))
(datetime.datetime(2023, 11, 1, 0, 1, 55), (30.02513653750425, -90.0, -6356342.230385794))
(datetime.datetime(2023, 11, 1, 0, 1, 56), (30.05426606843553, -90.0, -6356345.6054658145))
(datetime.datetime(2023, 11, 1, 0, 1, 57), (30.08339972904544, -90.0, -6356348.980723883))
(datetime.datetime(2023, 11, 1, 0, 1, 58), (30.112537530731064, -90.0, -6356352.35615856))
(datetime.datetime(2023, 11, 1, 0, 1, 59), (30.141679484898575, -90.0, -6356355.731768406))
(datetime.datetime(2023, 11, 1, 0, 2), (30.170825602962882, -90.0, -6356359.10755198))
(datetime.datetime(2023, 11, 1, 0, 2, 1), (30.199975896347848, -90.0, -6356362.483507839))
(datetime.datetime(2023, 11, 1, 0, 2, 2), (30.229130376484544, -90.0, -6356365.85963454))
(datetime.datetime(2023, 11, 1, 0, 2, 3), (30.25828905481458, -90.0, -6356369.235930642))
(datetime.datetime(2023, 11, 1, 0, 2, 4), (30.287451942785147, -90.0, -6356372.612394698))
(datetime.datetime(2023, 11, 1, 0, 2, 5), (30.316619051856538, -90.0, -6356375.989025264))
(datetime.datetime(2023, 11, 1, 0, 2, 6), (30.34579039349233, -90.0, -6356379.365820894))
(datetime.datetime(2023, 11, 1, 0, 2, 7), (30.374965979168795, -90.0, -6356382.742780142))
(datetime.datetime(2023, 11, 1, 0, 2, 8), (30.40414582036977, -90.0, -6356386.119901559))
(datetime.datetime(2023, 11, 1, 0, 2, 9), (30.433329928586545, -90.0, -6356389.497183699))
(datetime.datetime(2023, 11, 1, 0, 2, 10), (30.462518315320906, -90.0, -6356392.874625111))
(datetime.datetime(2023, 11, 1, 0, 2, 11), (30.49171099208142, -90.0, -6356396.252224346))
(datetime.datetime(2023, 11, 1, 0, 2, 12), (30.52090797038672, -90.0, -6356399.629979952))
(datetime.datetime(2023, 11, 1, 0, 2, 13), (30.550109261764504, -90.0, -6356403.00789048))
(datetime.datetime(2023, 11, 1, 0, 2, 14), (30.579314877748892, -90.0, -6356406.385954475))
(datetime.datetime(2023, 11, 1, 0, 2, 15), (30.608524829886125, -90.0, -6356409.7641704865))
(datetime.datetime(2023, 11, 1, 0, 2, 16), (30.63773912972752, -90.0, -6356413.142537059))
(datetime.datetime(2023, 11, 1, 0, 2, 17), (30.66695778883643, -90.0, -6356416.521052738))
(datetime.datetime(2023, 11, 1, 0, 2, 18), (30.69618081878377, -90.0, -6356419.899716069))
(datetime.datetime(2023, 11, 1, 0, 2, 19), (30.725408231147583, -90.0, -6356423.278525595))
(datetime.datetime(2023, 11, 1, 0, 2, 20), (30.754640037517547, -90.0, -6356426.657479858))
(datetime.datetime(2023, 11, 1, 0, 2, 21), (30.783876249490014, -90.0, -6356430.036577402))
(datetime.datetime(2023, 11, 1, 0, 2, 22), (30.813116878671384, -90.0, -6356433.415816766))
(datetime.datetime(2023, 11, 1, 0, 2, 23), (30.842361936676962, -90.0, -6356436.795196494))
(datetime.datetime(2023, 11, 1, 0, 2, 24), (30.87161143513041, -90.0, -6356440.174715122))
(datetime.datetime(2023, 11, 1, 0, 2, 25), (30.900865385663764, -90.0, -6356443.554371191))
(datetime.datetime(2023, 11, 1, 0, 2, 26), (30.930123799919482, -90.0, -6356446.93416324))
(datetime.datetime(2023, 11, 1, 0, 2, 27), (30.959386689547262, -90.0, -6356450.314089803))
(datetime.datetime(2023, 11, 1, 0, 2, 28), (30.988654066207122, -90.0, -6356453.69414942))
(datetime.datetime(2023, 11, 1, 0, 2, 29), (31.01792594156721, -90.0, -6356457.074340624))
(datetime.datetime(2023, 11, 1, 0, 2, 30), (31.047202327305268, -90.0, -6356460.4546619505))
(datetime.datetime(2023, 11, 1, 0, 2, 31), (31.076483235107396, -90.0, -6356463.835111935))
(datetime.datetime(2023, 11, 1, 0, 2, 32), (31.105768676667722, -90.0, -6356467.21568911))
(datetime.datetime(2023, 11, 1, 0, 2, 33), (31.135058663693272, -90.0, -6356470.596392007))
(datetime.datetime(2023, 11, 1, 0, 2, 34), (31.164353207895413, -90.0, -6356473.977219158))
(datetime.datetime(2023, 11, 1, 0, 2, 35), (31.19365232099783, -90.0, -6356477.358169095))
(datetime.datetime(2023, 11, 1, 0, 2, 36), (31.22295601473023, -90.0, -6356480.739240346))
(datetime.datetime(2023, 11, 1, 0, 2, 37), (31.252264300835073, -90.0, -6356484.120431442))
(datetime.datetime(2023, 11, 1, 0, 2, 38), (31.28157719106147, -90.0, -6356487.50174091))
(datetime.datetime(2023, 11, 1, 0, 2, 39), (31.31089469716771, -90.0, -6356490.883167279))
(datetime.datetime(2023, 11, 1, 0, 2, 40), (31.340216830922405, -90.0, -6356494.264709074))
(datetime.datetime(2023, 11, 1, 0, 2, 41), (31.369543604101924, -90.0, -6356497.646364823))
(datetime.datetime(2023, 11, 1, 0, 2, 42), (31.39887502849264, -90.0, -6356501.028133049))
(datetime.datetime(2023, 11, 1, 0, 2, 43), (31.42821111589109, -90.0, -6356504.410012278))
(datetime.datetime(2023, 11, 1, 0, 2, 44), (31.457551878098982, -90.0, -6356507.792001031))
(datetime.datetime(2023, 11, 1, 0, 2, 45), (31.486897326933423, -90.0, -6356511.174097834))
(datetime.datetime(2023, 11, 1, 0, 2, 46), (31.516247474215398, -90.0, -6356514.556301207))
(datetime.datetime(2023, 11, 1, 0, 2, 47), (31.54560233177749, -90.0, -6356517.938609671))
(datetime.datetime(2023, 11, 1, 0, 2, 48), (31.57496191146098, -90.0, -6356521.321021746))
(datetime.datetime(2023, 11, 1, 0, 2, 49), (31.604326225116885, -90.0, -6356524.703535952))
(datetime.datetime(2023, 11, 1, 0, 2, 50), (31.63369528460518, -90.0, -6356528.086150807))
(datetime.datetime(2023, 11, 1, 0, 2, 51), (31.663069101794868, -90.0, -6356531.468864829))
(datetime.datetime(2023, 11, 1, 0, 2, 52), (31.69244768856455, -90.0, -6356534.851676535))
(datetime.datetime(2023, 11, 1, 0, 2, 53), (31.72183105680206, -90.0, -6356538.234584441))
(datetime.datetime(2023, 11, 1, 0, 2, 54), (31.75121921840521, -90.0, -6356541.6175870625))
(datetime.datetime(2023, 11, 1, 0, 2, 55), (31.780612185279782, -90.0, -6356545.000682913))
(datetime.datetime(2023, 11, 1, 0, 2, 56), (31.810009969342175, -90.0, -6356548.383870507))
(datetime.datetime(2023, 11, 1, 0, 2, 57), (31.839412582517586, -90.0, -6356551.767148357))
(datetime.datetime(2023, 11, 1, 0, 2, 58), (31.868820036740935, -90.0, -6356555.150514975))
(datetime.datetime(2023, 11, 1, 0, 2, 59), (31.898232343956195, -90.0, -6356558.533968872))
(datetime.datetime(2023, 11, 1, 0, 3), (31.92764951611709, -90.0, -6356561.917508559))
(datetime.datetime(2023, 11, 1, 0, 3, 1), (31.95707156518683, -90.0, -6356565.301132545))
